classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,347178,7790,KEILA MEIR,,R  BM17,"R BM17 CASA 1 , BAIRRO RES BRISAS DA MATA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,216424,5896,KEVIO PERES XI,,R  CV11,"R CV11  CASA 01 , BAIRRO RES CENTER VILLE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,168456,5974,KGM COUTO I,,R  39,"R 39  C-1 , BAIRRO CON DAS ESMERALDAS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,198053,1830,LACERDA E MARQUES XIV,,R  DA ASTERIA,"R DA ASTERIA  CASA 01 , BAIRRO JD ATLÂNTICO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,198052,1742,LACERDA E MARQUES XVI,,R  DA ASTERIA,"R DA ASTERIA  CASA 01 , BAIRRO JD ATLÂNTICO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,197503,1831,LACERDA E MARQUES XVIII,,R  DA ASTERIA,"R DA ASTERIA  CASA 01 , BAIRRO JD ATLÂNTICO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,197502,1829,LACERDA E MARQUES XX,,R  DA ASTERIA,"R DA ASTERIA  CASA 01 , BAIRRO JD ATLÂNTICO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,361716,5723,LAGARES DA SILVA III,,R  BM10,"R BM10 CASA 02 , BAIRRO RES BRISAS DA MATA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,219903,5828,L.A.J III,,R  VB14,"R VB14  CASA 01 , BAIRRO RES VEREDA DOS BURITIS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,220508,5829,L.A.J IV,,R  VB30,"R VB30  CASA 01 , BAIRRO RES VEREDA DOS BURITIS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,220541,6294,L.A.J IX,,R  VB28,"R VB28  CASA 01 , BAIRRO RES VEREDA DOS BURITIS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,158632,4477,LC FERREIRA RESIDENCE,,R  JOSE CARDOSO DE BRITO,"AV ORLANDO MARQUES DE ABREU  CASA 01 , BAIRRO RES KÁTIA",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,139845,5804,LCI PARK RESIDENCE III,,R  POUSO ALEGRE,"R POUSO ALEGRE  CASA 01 , BAIRRO RES BUENA VISTA IV",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,261085,7086,LEARJET,,R  RSL8,"R RSL8 CASA 01 , BAIRRO RES SÃO LEOPOLDO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,114918,5781,LEONORA COUTO RESIDENCI,,R  BELA VISTA,"R BELA VISTA  CASA 01 , BAIRRO PRQ INDUSTRIAL JOÃO BRAZ",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,125486,1546,LIDIA DOS SANTOS II,,R  ANDRE HENRIQUE,"R ANDRE HENRIQUE  CASA 01 , BAIRRO RES SÃO MARCOS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,121945,6367,LIDIA FERREIRA,,R  21 DE ABRIL,"R 21 DE ABRIL  CASA-01 , BAIRRO PRQ INDUSTRIAL JOÃO BRAZ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,117555,1046,LIDIA FERREIRA VIII,,R  EUCLIDES DA CUNHA,"R EUCLIDES DA CUNHA  CASA 01 , BAIRRO PRQ INDUSTRIAL JOÃO BRAZ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,21575,11606,LIRIO DO CAMPO,,R  MARIA DE ALMEIDA LIMA,"R MARIA DE ALMEIDA LIMA CASA 01 , BAIRRO S ESTRELA DALVA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,224428,2038,LIVIA QUEIROZ,,R  SILENE BORGES DE FARIA,"R SILENE BORGES DE FARIA  CASA01 , BAIRRO VL SANTA RITA - 5ª ETAPA",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,135295,6779,LLEGO 44,,R  RMP11,"R RMP11  C-1 , BAIRRO RES MONTE PASCOAL",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,399287,5365,LOG GOIANIA,,RODBR153,"R DONA TODICA GALPAO01 , BAIRRO GLEBA",9,9,9,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,19946,5615,LONDRES III,,R  SHALON,"R SHALON LT 19 CS 01/02 , BAIRRO S PARQUE TREMENDÃO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,24789,2026,LOPES RODRIGUES III,,R  SHALON,"R SHALON LT 31 CS 01 , BAIRRO S PARQUE TREMENDÃO",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,222195,5877,LORENA MURILLO,,R  RC9,"R RC9  CASA 01 , BAIRRO RES CANADÁ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,60630,6284,LORENZO V,,R  FN4,"R FN4 LT 34 CS 01 , BAIRRO JD FONTE NOVA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,78581,2230,LOURENCO ROSA I,,R  EMILIO JORGE MIGUEL,"R EMILIO JORGE MIGUEL CASA 01 , BAIRRO JD CLARISSA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,165130,6420,L'PRUDENTE RESIDENCE III,,R  DO LYCEU,"R DO LYCEU  CASA 01 , BAIRRO RES SANTA FÉ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,131402,5952,LR SILVA RESIDENCE II,,AV OSMIRA MOREIRA DOS SANTOS,"AV OSMIRA MOREIRA DOS SANTOS  CASA 01 , BAIRRO RES GOYAZ PARK",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,350113,5805,LUCIMAR LEANDRO,,R  SR42,"R SR42 CASA 01 , BAIRRO RES PAULO ESTRELA",3,3,3,1,1
