classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
REVISAO_CODIGO_MULTILOTE,goiania,383746,4308,RES.FORT HOUSE I,CONDOMÍNIO BORGES LANDEIRO MODERNIDAD,R  RIO FORMOSO,"R JOAO PESSOA S/N APT101 , BAIRRO BRO ALTO DA GLÓRIA",108,111,526,2,3
REVISAO_CODIGO_MULTILOTE,goiania,227377,4346,RES.FORT HOUSE II,RESIDENCIAL MAFRA,AV MINAS GERAIS,"R 231  APT101 , BAIRRO S COIMBRA",10,12,10,2,1
REVISAO_CODIGO_MULTILOTE,goiania,362904,4346,RES.FORT HOUSE II,,AV MINAS GERAIS,"AV MINAS GERAIS CASA 01 , BAIRRO VL PEDROSO",2,12,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,12083,4102,RES FOX,RESIDENCIAL FOX,R  C82,"R C82  APT201 , BAIRRO S SUDOESTE",10,12,10,2,1
REVISAO_CODIGO_MULTILOTE,goiania,318811,4102,RES FOX,,R  C82,"R SIMILIANA BARBOSA CASA 01 , BAIRRO RES ANTÔNIO BARBOSA",2,12,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,155085,3808,RES FRANCISCO ARAUJO,,R  1041,"R SRM25  CASA 01 , BAIRRO RES VILLAGE SANTA RITA IV",2,6,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,247804,3808,RES FRANCISCO ARAUJO,,R  1041,"R 1041 LOJA 03 , BAIRRO S PEDRO LUDOVICO",4,6,4,2,1
REVISAO_CODIGO_MULTILOTE,goiania,22690,5165,RES. FREITAS I,CONDOMÍNIO GRAN LAGUNA,R  DOS MOROS,"R DA DIVISA AP 101-BL.01 , BAIRRO S PARQUE TREMENDÃO",112,115,112,2,1
REVISAO_CODIGO_MULTILOTE,goiania,200188,5165,RES. FREITAS I,,R  DOS MOROS,"R MALLORCA  CASA 03 , BAIRRO S TRÊS MARIAS",3,115,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,260728,3629,RES FREITAS III,,R  4,"R 4 CASA 01 , BAIRRO VL NOSSA SENHORA APARECIDA",4,104,4,2,1
REVISAO_CODIGO_MULTILOTE,goiania,396119,3629,RES FREITAS III,RESIDENCIAL ALAMEDA GRAN RESERVA,R  4,"R 9B  8ANDAR , BAIRRO S OESTE",100,104,100,2,1
REVISAO_CODIGO_MULTILOTE,goiania,108560,5076,RES.FRIEDEN III,CONDOMÍNIO NELSON MANDELA 4,R  RB2A,"R FRANCISCO ALVES S/N APT101-BL.A , BAIRRO CJ VERA CRUZ",48,50,48,2,1
REVISAO_CODIGO_MULTILOTE,goiania,383216,5076,RES.FRIEDEN III,,R  RB2A,"R RB2A CASA 01 , BAIRRO RES RECANTO DO BOSQUE",2,50,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,212827,4829,RES GABRIELA,,R  VV4,"R VV4  SOBRADO 01 , BAIRRO VLG VENEZA",2,66,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,236838,4829,RES GABRIELA,RESIDENCIAL SPACIO DIVERSE,R  VV4,"R APORE  APT101 , BAIRRO PRQ AMAZÔNIA",64,66,64,2,1
REVISAO_CODIGO_MULTILOTE,goiania,306245,764,RES GABRIEL FALEIRO,,R  805,"R 805 S/N SOB 01 , BAIRRO VL OSWALDO ROSA",4,21,4,2,1
REVISAO_CODIGO_MULTILOTE,goiania,396404,764,RES GABRIEL FALEIRO,,R  805,"R 5 110 SALA 03 , BAIRRO S CENTRAL",17,21,18,2,1
REVISAO_CODIGO_MULTILOTE,goiania,188904,3166,RES.GAIBU,,R  T62,"R DO GUAJA  CASA01 , BAIRRO JD ATLÂNTICO",2,26,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,408597,3166,RES.GAIBU,RESIDENCIAL GAIBÚ,R  T62,"R T62  BOX 10 , BAIRRO S BUENO",24,26,24,2,1
REVISAO_CODIGO_MULTILOTE,goiania,239096,3220,RES.GAIVOTAS,RESIDENCIAL GAIVOTAS,AV T4,"AV T4  BOX 26 , BAIRRO S BUENO",14,16,14,2,1
REVISAO_CODIGO_MULTILOTE,goiania,264684,3220,RES.GAIVOTAS,,AV T4,"R BERILO CASA 01 , BAIRRO LOT GOIÂNIA 2",2,16,2,2,1
